"scenario_id","horizon","location_name","target_end_date","model_name","value"
1,2,"US",2023-11-25,2,0
1,2,"Utah",2023-11-25,2,0.125
1,2,"California",2023-11-25,4,1
1,2,"Colorado",2023-11-25,4,1
1,2,"Connecticut",2023-11-25,4,0
1,2,"Georgia",2023-11-25,4,0
1,2,"Maryland",2023-11-25,4,0
1,2,"Michigan",2023-11-25,4,0
1,2,"Minnesota",2023-11-25,4,0
1,2,"New Mexico",2023-11-25,4,0
1,2,"New York",2023-11-25,4,0
1,2,"Oregon",2023-11-25,4,1
1,2,"Tennessee",2023-11-25,4,0
1,2,"US",2023-11-25,4,0
1,2,"Utah",2023-11-25,4,0
1,2,"California",2023-11-25,5,1
1,2,"Colorado",2023-11-25,5,0
1,2,"Connecticut",2023-11-25,5,0
1,2,"Georgia",2023-11-25,5,0
1,2,"Maryland",2023-11-25,5,0
1,2,"Michigan",2023-11-25,5,0
1,2,"Minnesota",2023-11-25,5,1
1,2,"New Mexico",2023-11-25,5,0
1,2,"New York",2023-11-25,5,0
1,2,"Oregon",2023-11-25,5,1
1,2,"Tennessee",2023-11-25,5,0
1,2,"US",2023-11-25,5,0
1,2,"Utah",2023-11-25,5,0
1,2,"California",2023-11-25,6,0
1,2,"Colorado",2023-11-25,6,0
1,2,"Connecticut",2023-11-25,6,0
1,2,"Georgia",2023-11-25,6,0
1,2,"Maryland",2023-11-25,6,0
1,2,"Michigan",2023-11-25,6,0
1,2,"Minnesota",2023-11-25,6,0
1,2,"New Mexico",2023-11-25,6,0
1,2,"New York",2023-11-25,6,0
1,2,"Oregon",2023-11-25,6,0
1,2,"Tennessee",2023-11-25,6,0
1,2,"US",2023-11-25,6,0
1,2,"Utah",2023-11-25,6,0
1,2,"California",2023-11-25,7,1
1,2,"Colorado",2023-11-25,7,0
1,2,"Connecticut",2023-11-25,7,0
1,2,"Georgia",2023-11-25,7,0
1,2,"Maryland",2023-11-25,7,0
1,2,"Michigan",2023-11-25,7,0
1,2,"Minnesota",2023-11-25,7,0
1,2,"New Mexico",2023-11-25,7,0
1,2,"New York",2023-11-25,7,0
1,2,"Oregon",2023-11-25,7,0
1,2,"Tennessee",2023-11-25,7,0
1,2,"US",2023-11-25,7,0
1,2,"Utah",2023-11-25,7,0
2,2,"California",2023-11-25,1,0.5
2,2,"Colorado",2023-11-25,1,0.5
2,2,"Connecticut",2023-11-25,1,0
2,2,"Georgia",2023-11-25,1,0
2,2,"Maryland",2023-11-25,1,0
2,2,"Michigan",2023-11-25,1,0
2,2,"Minnesota",2023-11-25,1,0
2,2,"New Mexico",2023-11-25,1,0
2,2,"New York",2023-11-25,1,0
2,2,"Oregon",2023-11-25,1,0
2,2,"Tennessee",2023-11-25,1,0
2,2,"US",2023-11-25,1,0
2,2,"Utah",2023-11-25,1,0
2,2,"California",2023-11-25,2,0.5
2,2,"Colorado",2023-11-25,2,0.5
2,2,"Connecticut",2023-11-25,2,0.125
2,2,"Georgia",2023-11-25,2,0
2,2,"Maryland",2023-11-25,2,0
2,2,"Michigan",2023-11-25,2,0
2,2,"Minnesota",2023-11-25,2,0
2,2,"New Mexico",2023-11-25,2,0
2,2,"New York",2023-11-25,2,0
2,2,"Oregon",2023-11-25,2,0.625
2,2,"Tennessee",2023-11-25,2,0.25
2,2,"US",2023-11-25,2,0
2,2,"Utah",2023-11-25,2,0.125
2,2,"California",2023-11-25,4,1
2,2,"Colorado",2023-11-25,4,1
2,2,"Connecticut",2023-11-25,4,0
2,2,"Georgia",2023-11-25,4,0
2,2,"Maryland",2023-11-25,4,0
2,2,"Michigan",2023-11-25,4,0
2,2,"Minnesota",2023-11-25,4,0
2,2,"New Mexico",2023-11-25,4,0
