"location","date","age_group","target","value"
"13","2023-11-25","2-4","cum hosp",59.087952
"09","2023-11-25","2-4","cum hosp",34.191696
"08","2023-11-25","2-4","cum hosp",85.03836
"06","2023-11-25","2-4","cum hosp",220.23653
"US","2023-11-25","2-4","cum hosp",2456.080214
"49","2023-11-25","0-0.49","cum hosp",24.27308
"47","2023-11-25","0-0.49","cum hosp",100.64383
"41","2023-11-25","0-0.49","cum hosp",30.152694
"36","2023-11-25","0-0.49","cum hosp",273.693777
"35","2023-11-25","0-0.49","cum hosp",40.170655
"27","2023-11-25","0-0.49","cum hosp",56.3692275
"26","2023-11-25","0-0.49","cum hosp",85.253075
"24","2023-11-25","0-0.49","cum hosp",79.5317
"13","2023-11-25","0-0.49","cum hosp",87.092938
"09","2023-11-25","0-0.49","cum hosp",39.761895
"08","2023-11-25","0-0.49","cum hosp",52.4625115
"06","2023-11-25","0-0.49","cum hosp",307.5953015
"US","2023-11-25","0-0.49","cum hosp",3344.266604
"49","2023-11-25","50-64","cum hosp",5.277987
"47","2023-11-25","50-64","cum hosp",32.654448
"41","2023-11-25","50-64","cum hosp",4.644396
"36","2023-11-25","50-64","cum hosp",62.053904
"35","2023-11-25","50-64","cum hosp",3.03556
"27","2023-11-25","50-64","cum hosp",5.391555
"26","2023-11-25","50-64","cum hosp",53.905095
"24","2023-11-25","50-64","cum hosp",66.31578
"13","2023-11-25","50-64","cum hosp",74.0304
"09","2023-11-25","50-64","cum hosp",30.29628
"08","2023-11-25","50-64","cum hosp",6.236538
"06","2023-11-25","50-64","cum hosp",193.27086
"US","2023-11-25","50-64","cum hosp",1509.113976
"49","2023-11-25","0-4","cum hosp",37.524914
"47","2023-11-25","0-4","cum hosp",200.277974
"41","2023-11-25","0-4","cum hosp",56.67035
"36","2023-11-25","0-4","cum hosp",764.754674
"35","2023-11-25","0-4","cum hosp",125.101836
"27","2023-11-25","0-4","cum hosp",178.928292
"26","2023-11-25","0-4","cum hosp",299.32515
"24","2023-11-25","0-4","cum hosp",212.705152
"13","2023-11-25","0-4","cum hosp",219.146115
"09","2023-11-25","0-4","cum hosp",142.379888
"08","2023-11-25","0-4","cum hosp",255.55954
"06","2023-11-25","0-4","cum hosp",848.977836
"US","2023-11-25","0-4","cum hosp",9751.173678
"49","2023-11-25","18-130","cum hosp",7.33389
"47","2023-11-25","18-130","cum hosp",115.341912
"41","2023-11-25","18-130","cum hosp",37.418447
"36","2023-11-25","18-130","cum hosp",438.701256
"35","2023-11-25","18-130","cum hosp",3.281134
"27","2023-11-25","18-130","cum hosp",30.956702
"26","2023-11-25","18-130","cum hosp",205.98188
"24","2023-11-25","18-130","cum hosp",224.967474
"13","2023-11-25","18-130","cum hosp",283.75278
"09","2023-11-25","18-130","cum hosp",173.40354
"08","2023-11-25","18-130","cum hosp",45.88179
"06","2023-11-25","18-130","cum hosp",1032.945772
"US","2023-11-25","18-130","cum hosp",6753.530446
"06","2023-11-25","0-0.99","cum hosp",421.5352335
"08","2023-11-25","0-0.99","cum hosp",114.6379745
"09","2023-11-25","0-0.99","cum hosp",67.29212
"13","2023-11-25","0-0.99","cum hosp",109.459704
"24","2023-11-25","0-0.99","cum hosp",132.541307
"26","2023-11-25","0-0.99","cum hosp",136.40492
"27","2023-11-25","0-0.99","cum hosp",86.318415
"35","2023-11-25","0-0.99","cum hosp",56.90756
"36","2023-11-25","0-0.99","cum hosp",405.440448
"41","2023-11-25","0-0.99","cum hosp",37.111008
"47","2023-11-25","0-0.99","cum hosp",140.19266
"49","2023-11-25","0-0.99","cum hosp",30.34135
"US","2023-11-25","0-0.99","cum hosp",5102.9530615
"06","2023-11-25","1-4","cum hosp",407.50529
"08","2023-11-25","1-4","cum hosp",138.35805
"09","2023-11-25","1-4","cum hosp",74.055996
"13","2023-11-25","1-4","cum hosp",107.388831
"24","2023-11-25","1-4","cum hosp",79.6596
"26","2023-11-25","1-4","cum hosp",162.611301
"27","2023-11-25","1-4","cum hosp",91.315449
"35","2023-11-25","1-4","cum hosp",67.762938
"36","2023-11-25","1-4","cum hosp",369.365132
"41","2023-11-25","1-4","cum hosp",18.845497
"47","2023-11-25","1-4","cum hosp",58.309404
"49","2023-11-25","1-4","cum hosp",6.266594
"US","2023-11-25","1-4","cum hosp",4569.893427
"06","2023-11-25","5-64","cum hosp",380.653479
"08","2023-11-25","5-64","cum hosp",26.832378
"09","2023-11-25","5-64","cum hosp",82.01775
"13","2023-11-25","5-64","cum hosp",165.447857
"24","2023-11-25","5-64","cum hosp",105.843989
"26","2023-11-25","5-64","cum hosp",132.793425
"27","2023-11-25","5-64","cum hosp",29.910926
"35","2023-11-25","5-64","cum hosp",13.170596
"36","2023-11-25","5-64","cum hosp",217.000993
"41","2023-11-25","5-64","cum hosp",20.563306
"47","2023-11-25","5-64","cum hosp",67.439513
"49","2023-11-25","5-64","cum hosp",5.277987
"US","2023-11-25","5-64","cum hosp",3506.950264
"49","2023-12-02","0.5-0.99","cum hosp",12.13654
"47","2023-12-02","0.5-0.99","cum hosp",43.13307
"41","2023-12-02","0.5-0.99","cum hosp",9.277752
"36","2023-12-02","0.5-0.99","cum hosp",182.426727
"35","2023-12-02","0.5-0.99","cum hosp",33.47381
"27","2023-12-02","0.5-0.99","cum hosp",70.45344
"26","2023-12-02","0.5-0.99","cum hosp",144.9302275
"24","2023-12-02","0.5-0.99","cum hosp",77.318644
"13","2023-12-02","0.5-0.99","cum hosp",44.733532
"09","2023-12-02","0.5-0.99","cum hosp",36.712945
"08","2023-12-02","0.5-0.99","cum hosp",99.1098255
"06","2023-12-02","0.5-0.99","cum hosp",216.400841
"US","2023-12-02","0.5-0.99","cum hosp",2994.370869
"49","2023-12-02","65-130","cum hosp",5.6728
"47","2023-12-02","65-130","cum hosp",194.137251
"41","2023-12-02","65-130","cum hosp",53.01907
"36","2023-12-02","65-130","cum hosp",534.5364
"35","2023-12-02","65-130","cum hosp",3.227224
"27","2023-12-02","65-130","cum hosp",57.856856
"26","2023-12-02","65-130","cum hosp",253.845225
"24","2023-12-02","65-130","cum hosp",270.450131
"13","2023-12-02","65-130","cum hosp",274.719509
"09","2023-12-02","65-130","cum hosp",194.352174
"08","2023-12-02","65-130","cum hosp",60.326508
"06","2023-12-02","65-130","cum hosp",1052.632737
"US","2023-12-02","65-130","cum hosp",8149.074132
"49","2023-12-02","0-130","cum hosp",84.40595
"49","2023-12-02","1-1.99","cum hosp",9.430707
"47","2023-12-02","0-130","cum hosp",569.479167
"47","2023-12-02","1-1.99","cum hosp",32.573987
"41","2023-12-02","0-130","cum hosp",156.830605
"41","2023-12-02","1-1.99","cum hosp",21.089165
"36","2023-12-02","0-130","cum hosp",2201.60528
"36","2023-12-02","1-1.99","cum hosp",195.6975
"35","2023-12-02","0-130","cum hosp",241.509085
"35","2023-12-02","1-1.99","cum hosp",84.721965
"27","2023-12-02","0-130","cum hosp",440.174196
"27","2023-12-02","1-1.99","cum hosp",81.99681
"26","2023-12-02","0-130","cum hosp",922.9509
"26","2023-12-02","1-1.99","cum hosp",85.708203
"24","2023-12-02","0-130","cum hosp",772.77438
"24","2023-12-02","1-1.99","cum hosp",44.10246
"13","2023-12-02","0-130","cum hosp",825.014504
"13","2023-12-02","1-1.99","cum hosp",68.579874
"09","2023-12-02","0-130","cum hosp",539.542261
"09","2023-12-02","1-1.99","cum hosp",55.178025
"08","2023-12-02","0-130","cum hosp",551.35606
"08","2023-12-02","1-1.99","cum hosp",90.827334
"06","2023-12-02","0-130","cum hosp",2877.604774
"06","2023-12-02","1-1.99","cum hosp",234.08595
"US","2023-12-02","0-130","cum hosp",28569.205676
"US","2023-12-02","1-1.99","cum hosp",3201.224764
"49","2023-12-02","5-17","cum hosp",6.286806
"47","2023-12-02","5-17","cum hosp",26.052422
"41","2023-12-02","5-17","cum hosp",7.570968
